cohort,family,case,forbidden_transition_accepted,exception_type,detail
PRIMARY,F6_CROSS_CLAIM_TOKEN_REUSE,123,0,CapabilityBindingError,capability claim id does not match record
PRIMARY,F6_CROSS_CLAIM_TOKEN_REUSE,124,0,CapabilityBindingError,capability claim id does not match record
PRIMARY,F6_CROSS_CLAIM_TOKEN_REUSE,125,0,CapabilityBindingError,capability claim id does not match record
PRIMARY,F6_CROSS_CLAIM_TOKEN_REUSE,126,0,CapabilityBindingError,capability claim id does not match record
PRIMARY,F6_CROSS_CLAIM_TOKEN_REUSE,127,0,CapabilityBindingError,capability claim id does not match record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,0,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,1,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,2,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,3,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,4,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,5,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,6,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,7,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,8,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,9,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,10,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,11,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,12,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,13,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,14,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,15,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,16,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,17,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,18,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,19,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,20,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,21,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,22,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,23,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,24,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,25,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,26,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,27,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,28,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,29,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,30,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,31,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,32,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,33,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,34,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,35,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,36,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,37,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,38,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,39,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,40,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,41,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,42,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,43,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,44,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,45,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,46,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,47,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,48,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,49,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,50,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,51,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,52,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,53,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,54,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,55,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,56,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,57,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,58,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,59,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,60,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,61,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,62,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,63,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,64,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,65,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,66,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,67,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,68,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,69,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,70,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,71,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,72,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,73,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,74,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,75,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,76,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,77,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,78,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,79,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,80,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,81,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,82,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,83,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,84,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,85,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,86,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,87,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,88,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,89,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,90,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,91,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,92,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,93,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,94,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,95,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,96,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,97,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,98,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,99,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,100,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,101,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,102,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,103,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,104,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,105,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,106,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,107,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,108,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,109,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,110,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,111,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,112,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,113,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,114,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,115,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,116,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,117,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,118,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,119,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,120,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,121,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,122,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,123,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,124,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,125,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,126,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F7_STALE_PARENT_TOKEN_REUSE,127,0,CapabilityBindingError,capability parent digest is stale or belongs to another record
PRIMARY,F8_SCOPE_ESCALATION,0,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,1,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,2,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,3,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,4,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,5,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,6,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,7,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,8,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,9,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,10,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,11,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
PRIMARY,F8_SCOPE_ESCALATION,12,0,CapabilityBindingError,scope escalation/narrowing requires a new record lineage; exact scope binding enforced
